age,job,marital,education,housing
58,management,married,tertiary,yes
44,technician,single,secondary,yes
33,entrepreneur,married,secondary,yes
47,blue-collar,married,unknown,yes
33,unknown,single,unknown,no
35,management,married,tertiary,yes
28,management,single,tertiary,yes
42,entrepreneur,divorced,tertiary,yes
58,retired,married,primary,yes
43,technician,single,secondary,yes
41,admin.,divorced,secondary,yes
29,admin.,single,secondary,yes
53,technician,married,secondary,yes
58,technician,married,unknown,yes
57,services,married,secondary,yes
51,retired,married,primary,yes
45,admin.,single,unknown,yes
57,blue-collar,married,primary,yes
60,retired,married,primary,yes
33,services,married,secondary,yes
28,blue-collar,married,secondary,yes
56,management,married,tertiary,yes
32,blue-collar,single,primary,yes
25,services,married,secondary,yes
40,retired,married,primary,yes
44,admin.,married,secondary,yes
39,management,single,tertiary,yes
52,entrepreneur,married,secondary,yes
46,management,single,secondary,yes
36,technician,single,secondary,yes
57,technician,married,secondary,no
49,management,married,tertiary,yes
60,admin.,married,secondary,yes
59,blue-collar,married,secondary,yes
51,management,married,tertiary,yes
57,technician,divorced,secondary,yes
25,blue-collar,married,secondary,yes
53,technician,married,secondary,no
36,admin.,divorced,secondary,yes
37,admin.,single,secondary,yes
44,services,divorced,secondary,yes
50,management,married,secondary,yes
60,blue-collar,married,unknown,yes
54,retired,married,secondary,yes
58,retired,married,unknown,yes
36,admin.,single,primary,yes
58,self-employed,married,tertiary,yes
44,technician,married,secondary,yes
55,technician,divorced,secondary,no
29,management,single,tertiary,yes
54,blue-collar,married,secondary,yes
48,management,divorced,tertiary,yes
32,management,married,tertiary,yes
42,admin.,single,secondary,yes
24,technician,single,secondary,yes
38,entrepreneur,single,tertiary,no
38,management,single,tertiary,yes
47,blue-collar,married,unknown,yes
40,blue-collar,single,unknown,yes
46,services,married,primary,yes
32,admin.,married,tertiary,yes
53,technician,divorced,secondary,yes
57,blue-collar,married,primary,yes
33,services,married,secondary,yes
49,blue-collar,married,unknown,yes
51,management,married,tertiary,yes
60,retired,married,tertiary,no
59,management,divorced,tertiary,yes
55,technician,married,secondary,yes
35,blue-collar,single,secondary,yes
57,blue-collar,married,secondary,yes
31,services,married,secondary,yes
54,management,married,secondary,yes
55,blue-collar,married,primary,yes
43,technician,married,secondary,yes
53,technician,married,secondary,yes
44,blue-collar,married,secondary,no
55,services,divorced,secondary,no
49,services,divorced,secondary,yes
55,services,divorced,secondary,yes
45,admin.,single,secondary,yes
47,services,divorced,secondary,no
42,technician,single,secondary,yes
59,admin.,married,secondary,yes
46,self-employed,married,tertiary,yes
51,blue-collar,married,primary,yes
56,admin.,married,secondary,no
41,technician,married,secondary,yes
46,management,divorced,secondary,yes
57,retired,married,secondary,yes
42,management,single,secondary,no
30,technician,married,secondary,yes
60,admin.,married,secondary,yes
60,blue-collar,married,unknown,yes
57,entrepreneur,divorced,secondary,no
36,management,married,tertiary,yes
55,blue-collar,married,secondary,no
60,retired,married,tertiary,yes
39,technician,married,secondary,yes
46,management,married,tertiary,yes
44,blue-collar,married,secondary,yes
53,blue-collar,married,primary,no
52,blue-collar,married,primary,yes
59,blue-collar,married,primary,yes
27,technician,single,tertiary,yes
44,blue-collar,married,secondary,yes
47,technician,married,tertiary,yes
34,admin.,married,secondary,no
59,retired,single,secondary,yes
45,management,married,tertiary,yes
29,services,divorced,secondary,yes
46,technician,divorced,secondary,no
56,self-employed,married,primary,yes
36,blue-collar,married,primary,yes
59,retired,divorced,primary,yes
44,blue-collar,married,secondary,yes
41,admin.,married,secondary,yes
33,management,single,tertiary,yes
59,management,divorced,tertiary,no
57,technician,married,primary,no
56,technician,divorced,unknown,yes
51,blue-collar,married,secondary,yes
34,admin.,married,unknown,yes
43,services,married,secondary,yes
52,technician,married,tertiary,no
33,technician,single,secondary,yes
29,admin.,single,secondary,yes
34,services,married,secondary,yes
31,blue-collar,married,secondary,yes
55,services,married,secondary,yes
55,management,married,unknown,no
32,admin.,single,secondary,yes
38,technician,single,secondary,yes
55,admin.,single,secondary,yes
28,unemployed,single,tertiary,yes
23,blue-collar,married,secondary,yes
32,technician,single,secondary,yes
43,services,single,unknown,no
32,blue-collar,married,secondary,yes
46,blue-collar,married,secondary,yes
53,housemaid,divorced,primary,yes
34,self-employed,single,secondary,yes
57,unemployed,married,tertiary,no
37,blue-collar,married,secondary,yes
59,blue-collar,married,secondary,yes
33,services,married,secondary,yes
56,blue-collar,divorced,primary,yes
48,unemployed,married,secondary,yes
43,services,married,primary,yes
54,blue-collar,married,primary,yes
51,blue-collar,married,unknown,yes
26,student,single,secondary,yes
40,management,married,tertiary,yes
39,management,married,secondary,yes
50,technician,married,primary,no
41,services,married,secondary,yes
51,blue-collar,married,unknown,yes
60,retired,divorced,secondary,yes
52,blue-collar,married,secondary,yes
48,blue-collar,married,secondary,yes
48,services,married,unknown,yes
39,technician,single,tertiary,yes
47,services,single,secondary,yes
40,blue-collar,married,secondary,yes
45,technician,married,secondary,yes
26,admin.,single,secondary,yes
52,management,married,tertiary,yes
54,technician,married,secondary,yes
54,admin.,married,tertiary,no
50,blue-collar,married,primary,no
35,blue-collar,married,secondary,yes
44,services,married,secondary,yes
53,entrepreneur,married,unknown,yes
35,retired,single,primary,no
60,admin.,divorced,secondary,yes
53,admin.,divorced,secondary,yes
48,unemployed,married,secondary,yes
34,technician,married,secondary,yes
54,services,married,secondary,yes
51,management,married,secondary,yes
31,services,married,tertiary,yes
35,technician,divorced,secondary,yes
35,services,married,secondary,yes
38,technician,married,secondary,yes
36,admin.,married,tertiary,yes
58,retired,married,primary,yes
40,services,divorced,unknown,yes
54,management,married,secondary,no
34,blue-collar,single,secondary,yes
31,management,single,tertiary,yes
51,retired,married,secondary,yes
33,management,married,tertiary,yes
55,management,married,tertiary,yes
42,admin.,married,secondary,yes
34,blue-collar,married,secondary,yes
33,blue-collar,single,secondary,yes
38,services,married,secondary,yes
50,technician,divorced,tertiary,no
43,management,married,tertiary,yes
61,blue-collar,divorced,primary,yes
47,admin.,married,secondary,yes
48,self-employed,married,tertiary,yes
44,blue-collar,married,secondary,yes
35,student,single,unknown,yes
35,services,married,secondary,yes
50,services,married,secondary,yes
41,management,married,tertiary,yes
41,management,married,tertiary,yes
39,services,single,unknown,yes
42,retired,married,secondary,yes
38,blue-collar,married,secondary,yes
53,retired,married,secondary,yes
59,housemaid,divorced,primary,no
36,services,married,secondary,yes
54,blue-collar,married,primary,yes
40,technician,married,tertiary,yes
47,unknown,married,unknown,no
53,unemployed,married,unknown,no
46,housemaid,married,primary,no
39,management,married,tertiary,yes
40,unemployed,married,secondary,yes
28,blue-collar,married,primary,yes
35,entrepreneur,divorced,secondary,yes
55,retired,married,secondary,no
43,technician,divorced,unknown,yes
48,blue-collar,married,primary,yes
58,management,married,unknown,yes
33,management,single,tertiary,yes
36,blue-collar,married,unknown,no
53,services,divorced,secondary,yes
47,blue-collar,married,primary,yes
31,services,married,secondary,yes
57,entrepreneur,married,secondary,yes
53,blue-collar,married,unknown,no
55,blue-collar,married,primary,yes
45,blue-collar,married,primary,yes
53,admin.,divorced,secondary,yes
37,blue-collar,married,primary,yes
44,admin.,divorced,secondary,yes
49,blue-collar,divorced,primary,yes
46,technician,married,secondary,yes
43,entrepreneur,married,unknown,yes
38,admin.,married,secondary,no
43,technician,married,secondary,yes
49,management,married,tertiary,yes
42,management,married,unknown,no
22,blue-collar,single,secondary,yes
40,management,married,tertiary,yes
39,blue-collar,married,secondary,yes
51,services,married,secondary,yes
49,admin.,married,secondary,yes
53,blue-collar,married,secondary,yes
34,services,single,secondary,yes
33,technician,divorced,secondary,yes
50,management,single,tertiary,yes
39,blue-collar,married,primary,yes
59,entrepreneur,divorced,secondary,yes
30,technician,single,secondary,yes
36,services,married,secondary,yes
40,blue-collar,married,secondary,yes
53,blue-collar,married,secondary,yes
34,management,single,tertiary,yes
37,technician,married,secondary,yes
42,management,divorced,tertiary,yes
41,entrepreneur,married,primary,yes
30,student,single,tertiary,yes
37,management,single,tertiary,yes
39,admin.,divorced,secondary,yes
41,blue-collar,married,primary,yes
40,blue-collar,married,primary,yes
42,management,single,tertiary,yes
40,blue-collar,divorced,primary,yes
57,technician,married,secondary,yes
56,entrepreneur,divorced,secondary,no
37,admin.,married,secondary,yes
59,retired,married,secondary,yes
39,services,divorced,secondary,yes
49,services,married,secondary,no
38,services,single,secondary,yes
36,self-employed,married,tertiary,no
50,blue-collar,married,primary,yes
41,admin.,married,secondary,yes
54,technician,married,tertiary,no
58,blue-collar,married,primary,yes
30,blue-collar,single,secondary,yes
33,admin.,single,secondary,yes
47,admin.,married,secondary,yes
50,technician,single,tertiary,yes
32,blue-collar,married,secondary,yes
40,self-employed,married,secondary,yes
37,management,married,tertiary,yes
54,technician,single,unknown,yes
24,student,single,secondary,yes
54,management,married,tertiary,no
34,technician,married,secondary,yes
56,technician,divorced,primary,yes
31,blue-collar,single,secondary,yes
24,student,single,secondary,yes
42,blue-collar,divorced,primary,yes
57,technician,married,secondary,yes
42,blue-collar,married,unknown,yes
51,admin.,married,secondary,yes
57,retired,married,secondary,yes
36,services,single,secondary,yes
53,services,married,unknown,yes
50,technician,married,secondary,yes
54,management,married,tertiary,yes
55,blue-collar,married,secondary,yes
44,blue-collar,married,secondary,yes
43,management,married,unknown,yes
56,admin.,married,secondary,yes
54,technician,married,unknown,yes
55,services,divorced,primary,yes
37,services,divorced,secondary,yes
33,admin.,single,tertiary,no
46,admin.,married,secondary,yes
36,blue-collar,married,secondary,yes
51,technician,single,secondary,yes
40,retired,single,primary,no
42,blue-collar,married,secondary,yes
